,Subject,RT,condition,Error,sens_comp,resp_comp
0,1,310.0800000000001,exHULU,1,comp,comp
1,1,248.2,exHULU,1,comp,comp
2,1,287.3300000000001,exHULU,1,comp,comp
3,1,345.06,exHULU,1,comp,comp
4,1,306.06,exHULU,1,comp,comp
5,1,285.85,exHULU,1,comp,comp
6,1,257.16,exHULU,1,comp,comp
7,1,283.6,exHULU,1,comp,comp
8,1,302.29,exHULU,1,comp,comp
9,1,319.41,exHULU,1,comp,comp
10,1,269.95000000000005,exHULU,1,comp,comp
11,1,340.74,exHULU,1,comp,comp
12,1,370.69,exHULU,1,comp,comp
13,1,395.87,exHULU,1,comp,comp
14,1,335.57,exHULU,1,comp,comp
15,1,456.38,exHULU,1,comp,comp
16,1,304.76,exHULU,1,comp,comp
17,1,322.22,exHULU,1,comp,comp
18,1,317.61999999999995,exHULU,1,comp,comp
19,1,379.65,exHULU,1,comp,comp
20,1,477.85,exHULU,1,comp,comp
21,1,306.84,exHULU,1,comp,comp
22,1,325.72,exHULU,1,comp,comp
23,1,303.39,exHULU,1,comp,comp
24,1,268.99,exHULU,1,comp,comp
25,1,269.79,exHULU,1,comp,comp
26,1,265.5,exHULU,1,comp,comp
27,1,287.86999999999995,exHULU,1,comp,comp
28,1,237.87,exHULU,1,comp,comp
29,1,417.37,exHULU,1,comp,comp
30,1,250.45,exHULU,1,comp,comp
31,1,247.68,exHULU,1,comp,comp
32,1,252.93000000000004,exHULU,1,comp,comp
33,1,300.47,exHULU,1,comp,comp
34,1,232.84000000000003,exHULU,1,comp,comp
35,1,252.9,exHULU,1,comp,comp
36,1,299.91,exHULU,1,comp,comp
37,1,291.41,exHULU,1,comp,comp
38,1,291.58,exHULU,1,comp,comp
39,1,307.61,exHULU,1,comp,comp
40,1,239.04,exHULU,1,comp,comp
41,1,209.45,exHULU,1,comp,comp
42,1,289.45,exHULU,1,comp,comp
43,1,259.90000000000003,exHULU,1,comp,comp
44,1,281.06,exHULU,1,comp,comp
45,1,336.8300000000001,exHULU,1,comp,comp
46,1,287.88000000000005,exHULU,1,comp,comp
47,1,282.48,exHULU,1,comp,comp
48,1,233.55,exHULU,1,comp,comp
49,1,270.5,exHULU,1,comp,comp
50,1,294.31,exHULU,1,comp,comp
51,1,263.73,exHULU,1,comp,comp
52,1,206.16,exHULU,1,comp,comp
53,1,202.87,exHULU,0,comp,comp
54,1,251.56,exHULU,1,comp,comp
55,1,257.91,exHULU,1,comp,comp
56,1,350.35,exHULU,1,comp,comp
57,1,249.4,exHULU,1,comp,comp
58,1,291.3300000000001,exHULU,1,comp,comp
59,1,1006.2,exHULU,1,comp,comp
60,1,550.16,exHULU,1,comp,comp
61,1,517.03,exHULU,1,comp,comp
62,1,684.2600000000001,exHULU,1,comp,comp
63,1,237.18000000000004,exHULU,1,comp,comp
64,1,485.92,exHULU,1,comp,comp
65,1,302.93,exHULU,1,comp,comp
66,1,352.8300000000001,exHULU,1,comp,comp
67,1,370.98,exHULU,1,comp,comp
68,1,349.0900000000001,exHULU,1,comp,comp
69,1,655.61,exHULU,1,comp,comp
70,1,294.7800000000001,exHULU,1,comp,comp
71,1,317.65,exHULU,1,comp,comp
72,1,472.69,exHULU,1,comp,comp
73,1,412.89,exHULU,1,comp,comp
74,1,355.2800000000001,exHULU,1,comp,comp
75,1,332.43,exHULU,1,comp,comp
76,1,285.63,exHULU,1,comp,comp
77,1,205.01,exHULU,1,comp,comp
78,1,264.56,exHULU,1,comp,comp
79,1,313.86,exHULU,1,comp,comp
80,1,267.49,exHULU,1,comp,comp
81,1,419.31,exHULU,1,comp,comp
82,1,283.6500000000001,exHULU,1,comp,comp
83,1,358.62,exHULU,1,comp,comp
84,1,354.5900000000001,exHULU,1,comp,comp
85,1,337.97,exHULU,1,comp,comp
86,1,281.99,exHULU,1,comp,comp
87,1,307.83,exHULU,1,comp,comp
88,1,269.45000000000005,exHULU,1,comp,comp
89,1,311.8,exHULU,1,comp,comp
90,1,258.82,exHULU,1,comp,comp
91,1,253.61,exHULU,1,comp,comp
92,1,350.36,exHULU,1,comp,comp
93,1,342.06,exHULU,1,comp,comp
94,1,301.0800000000001,exHULU,1,comp,comp
95,1,254.55,exHULU,1,comp,comp
96,1,232.3,exHULU,1,comp,comp
97,1,266.97,exHULU,1,comp,comp
98,1,314.32,exHULU,1,comp,comp
99,1,212.85,exHULU,1,comp,comp
100,1,382.08,exHCLU,1,comp,comp
101,1,456.48,exHCLU,1,comp,comp
102,1,433.3,exHCLU,1,comp,comp
103,1,291.68,exHCLU,1,comp,comp
104,1,380.85,exHCLU,1,comp,comp
105,1,411.17,exHCLU,1,comp,comp
106,1,411.86000000000007,exHCLU,1,comp,comp
107,1,363.98,exHCLU,1,comp,comp
108,1,351.5900000000001,exHCLU,1,comp,comp
109,1,278.64,exHCLU,0,comp,comp
110,1,271.31,exHCLU,1,comp,comp
111,1,312.0300000000001,exHCLU,1,comp,comp
112,1,468.83,exHCLU,1,comp,comp
113,1,367.63,exHCLU,1,comp,comp
114,1,526.78,exHCLU,1,comp,comp
115,1,369.35,exHCLU,1,comp,comp
116,1,434.27,exHCLU,1,comp,comp
117,1,472.47,exHCLU,1,comp,comp
118,1,435.12,exHCLU,1,comp,comp
119,1,442.9,exHCLU,1,comp,comp
120,1,574.11,exHCLU,1,comp,comp
121,1,617.85,exHCLU,1,comp,comp
122,1,451.5,exHCLU,1,comp,comp
123,1,349.74,exHCLU,1,comp,comp
124,1,391.18,exHCLU,1,comp,comp
125,1,388.55,exHCLU,1,comp,comp
126,1,380.53,exHCLU,1,comp,comp
127,1,420.63,exHCLU,1,comp,comp
128,1,400.13000000000005,exHCLU,1,comp,comp
129,1,311.16,exHCLU,0,comp,comp
130,1,389.85,exHCLU,1,comp,comp
131,1,490.98,exHCLU,1,comp,comp
132,1,349.58,exHCLU,1,comp,comp
133,1,367.54,exHCLU,1,comp,comp
134,1,268.47,exHCLU,1,comp,comp
135,1,297.06,exHCLU,1,comp,comp
136,1,258.1,exHCLU,1,comp,comp
137,1,470.18000000000006,exHCLU,1,comp,comp
138,1,310.32,exHCLU,1,comp,comp
139,1,312.6,exHCLU,1,comp,comp
140,1,325.86,exHCLU,1,comp,comp
141,1,400.54,exHCLU,1,comp,comp
142,1,463.36000000000007,exHCLU,1,comp,comp
143,1,389.86,exHCLU,1,comp,comp
144,1,340.0900000000001,exHCLU,1,comp,comp
145,1,379.84,exHCLU,1,comp,comp
146,1,325.92,exHCLU,1,comp,comp
147,1,382.2,exHCLU,1,comp,comp
148,1,283.76,exHCLU,1,comp,comp
149,1,286.0300000000001,exHCLU,1,comp,comp
150,1,302.63,exHCLU,1,comp,comp
151,1,269.91,exHCLU,1,comp,comp
152,1,380.67,exHCLU,1,comp,comp
153,1,287.97,exHCLU,1,comp,comp
154,1,297.45,exHCLU,1,comp,comp
155,1,301.73,exHCLU,1,comp,comp
156,1,371.38000000000005,exHCLU,1,comp,comp
157,1,353.36,exHCLU,1,comp,comp
158,1,216.05,exHCLU,0,comp,comp
159,1,346.98,exHCLU,1,comp,comp
160,1,471.00000000000006,exHCLU,1,comp,comp
161,1,295.0300000000001,exHCLU,1,comp,comp
162,1,386.53,exHCLU,1,comp,comp
163,1,478.28,exHCLU,1,comp,comp
164,1,377.58,exHCLU,1,comp,comp
165,1,257.5,exHCLU,0,comp,comp
166,1,302.24,exHCLU,0,comp,comp
167,1,305.02,exHCLU,1,comp,comp
168,1,383.95,exHCLU,1,comp,comp
169,1,287.94000000000005,exHCLU,1,comp,comp
170,1,343.62,exHCLU,1,comp,comp
171,1,336.7800000000001,exHCLU,1,comp,comp
172,1,385.38,exHCLU,1,comp,comp
173,1,399.62,exHCLU,1,comp,comp
174,1,430.66,exHCLU,1,comp,comp
175,1,486.8,exHCLU,1,comp,comp
176,1,381.93,exHCLU,1,comp,comp
177,1,308.97,exHCLU,1,comp,comp
178,1,447.24,exHCLU,1,comp,comp
179,1,350.19,exHCLU,1,comp,comp
180,1,349.86999999999995,exHCLU,1,comp,comp
181,1,459.05,exHCLU,1,comp,comp
182,1,331.3900000000001,exHCLU,1,comp,comp
183,1,385.57,exHCLU,1,comp,comp
184,1,469.32,exHCLU,1,comp,comp
185,1,412.58,exHCLU,1,comp,comp
186,1,347.36,exHCLU,1,comp,comp
187,1,364.08,exHCLU,1,comp,comp
188,1,370.68,exHCLU,1,comp,comp
189,1,482.6,exHCLU,1,comp,comp
190,1,366.63,exHCLU,1,comp,comp
191,1,420.44,exHCLU,1,comp,comp
192,1,358.88000000000005,exHCLU,1,comp,comp
193,1,274.81,exHCLU,1,comp,comp
194,1,320.41,exHCLU,1,comp,comp
195,1,600.19,exHCLU,1,comp,comp
196,1,314.76,exHCLU,1,comp,comp
197,1,344.9,exHCLU,1,comp,comp
198,1,270.92,exHCLU,1,comp,comp
199,1,605.61,exHULC,1,incomp,comp
200,1,385.59,exHULC,1,incomp,comp
201,1,430.58,exHULC,1,incomp,comp
202,1,559.89,exHULC,0,incomp,comp
203,1,650.2600000000001,exHULC,1,incomp,comp
204,1,1429.3,exHULC,1,incomp,comp
205,1,592.65,exHULC,1,incomp,comp
206,1,400.95,exHULC,1,incomp,comp
207,1,395.22,exHULC,1,incomp,comp
208,1,534.6800000000002,exHULC,1,incomp,comp
209,1,570.0699999999998,exHULC,1,incomp,comp
210,1,405.35,exHULC,1,incomp,comp
211,1,435.95,exHULC,1,incomp,comp
212,1,651.75,exHULC,0,incomp,comp
213,1,754.9399999999998,exHULC,1,incomp,comp
214,1,479.16,exHULC,1,incomp,comp
215,1,415.67,exHULC,1,incomp,comp
216,1,354.88000000000005,exHULC,1,incomp,comp
217,1,519.98,exHULC,1,incomp,comp
218,1,1214.6999999999996,exHULC,1,incomp,comp
219,1,437.47,exHULC,1,incomp,comp
220,1,536.0899999999998,exHULC,1,incomp,comp
221,1,389.08,exHULC,1,incomp,comp
222,1,504.84,exHULC,1,incomp,comp
223,1,508.4,exHULC,1,incomp,comp
224,1,637.75,exHULC,1,incomp,comp
225,1,741.7199999999998,exHULC,1,incomp,comp
226,1,562.88,exHULC,1,incomp,comp
227,1,863.47,exHULC,1,incomp,comp
228,1,724.1800000000002,exHULC,1,incomp,comp
229,1,613.26,exHULC,1,incomp,comp
230,1,584.8800000000001,exHULC,1,incomp,comp
231,1,794.9300000000002,exHULC,0,incomp,comp
232,1,731.85,exHULC,1,incomp,comp
233,1,515.58,exHULC,1,incomp,comp
234,1,764.07,exHULC,1,incomp,comp
235,1,621.63,exHULC,1,incomp,comp
236,1,554.21,exHULC,1,incomp,comp
237,1,360.96,exHULC,1,incomp,comp
238,1,456.41,exHULC,1,incomp,comp
239,1,386.52,exHULC,1,incomp,comp
240,1,358.7000000000001,exHULC,1,incomp,comp
241,1,425.31,exHULC,1,incomp,comp
242,1,382.63000000000005,exHULC,1,incomp,comp
243,1,403.46,exHULC,1,incomp,comp
244,1,552.0699999999998,exHULC,1,incomp,comp
245,1,552.33,exHULC,1,incomp,comp
246,1,298.38000000000005,exHULC,1,incomp,comp
247,1,442.65,exHULC,1,incomp,comp
248,1,438.47,exHULC,1,incomp,comp
249,1,422.32,exHULC,1,incomp,comp
250,1,319.2800000000001,exHULC,0,incomp,comp
251,1,545.5,exHULC,1,incomp,comp
252,1,437.99,exHULC,1,incomp,comp
253,1,496.88999999999993,exHULC,1,incomp,comp
254,1,454.96,exHULC,1,incomp,comp
255,1,564.7800000000002,exHULC,1,incomp,comp
256,1,807.9300000000002,exHULC,1,incomp,comp
257,1,526.96,exHULC,1,incomp,comp
258,1,456.55,exHULC,1,incomp,comp
259,1,491.29,exHULC,1,incomp,comp
260,1,353.49,exHULC,1,incomp,comp
261,1,445.42,exHULC,1,incomp,comp
262,1,441.58,exHULC,1,incomp,comp
263,1,713.71,exHULC,1,incomp,comp
264,1,543.38,exHULC,1,incomp,comp
265,1,663.03,exHULC,1,incomp,comp
266,1,694.5600000000002,exHULC,1,incomp,comp
267,1,419.2600000000001,exHULC,1,incomp,comp
268,1,591.12,exHULC,1,incomp,comp
269,1,659.5999999999998,exHULC,0,incomp,comp
270,1,521.79,exHULC,1,incomp,comp
271,1,346.7100000000001,exHULC,1,incomp,comp
272,1,579.04,exHULC,1,incomp,comp
273,1,449.07,exHULC,1,incomp,comp
274,1,593.6,exHULC,1,incomp,comp
275,1,492.45,exHULC,1,incomp,comp
276,1,349.21,exHULC,1,incomp,comp
277,1,472.85,exHULC,1,incomp,comp
278,1,400.42,exHULC,1,incomp,comp
279,1,442.97,exHULC,1,incomp,comp
280,1,385.39,exHULC,1,incomp,comp
281,1,372.05,exHULC,1,incomp,comp
282,1,447.97,exHULC,1,incomp,comp
283,1,412.74,exHULC,1,incomp,comp
284,1,415.15,exHULC,1,incomp,comp
285,1,297.49,exHULC,1,incomp,comp
286,1,319.01,exHULC,1,incomp,comp
287,1,824.9200000000002,exHULC,1,incomp,comp
288,1,389.61,exHULC,1,incomp,comp
289,1,396.9500000000001,exHULC,1,incomp,comp
290,1,414.85,exHULC,1,incomp,comp
291,1,430.53,exHULC,1,incomp,comp
292,1,519.29,exHULC,1,incomp,comp
293,1,479.9,exHULC,1,incomp,comp
294,1,649.2,exHCLC,1,incomp,comp
295,1,465.05,exHCLC,1,incomp,comp
296,1,446.69,exHCLC,1,incomp,comp
297,1,857.6899999999998,exHCLC,1,incomp,comp
298,1,509.96000000000015,exHCLC,1,incomp,comp
299,1,410.66,exHCLC,1,incomp,comp
300,1,1405.0,exHCLC,0,incomp,comp
301,1,705.4399999999998,exHCLC,1,incomp,comp
302,1,572.24,exHCLC,1,incomp,comp
303,1,516.5,exHCLC,1,incomp,comp
304,1,481.06000000000006,exHCLC,1,incomp,comp
305,1,502.57,exHCLC,1,incomp,comp
306,1,481.56000000000006,exHCLC,1,incomp,comp
307,1,559.57,exHCLC,1,incomp,comp
308,1,476.04,exHCLC,1,incomp,comp
309,1,454.61,exHCLC,1,incomp,comp
310,1,419.08,exHCLC,1,incomp,comp
311,1,338.76,exHCLC,1,incomp,comp
312,1,309.11,exHCLC,1,incomp,comp
313,1,372.53,exHCLC,0,incomp,comp
314,1,390.92,exHCLC,1,incomp,comp
315,1,429.23,exHCLC,1,incomp,comp
316,1,539.29,exHCLC,1,incomp,comp
317,1,369.67,exHCLC,1,incomp,comp
318,1,575.2,exHCLC,0,incomp,comp
319,1,372.93000000000006,exHCLC,1,incomp,comp
320,1,300.73,exHCLC,1,incomp,comp
321,1,336.76,exHCLC,1,incomp,comp
322,1,285.7800000000001,exHCLC,1,incomp,comp
323,1,352.8300000000001,exHCLC,1,incomp,comp
324,1,427.54,exHCLC,1,incomp,comp
325,1,406.1,exHCLC,1,incomp,comp
326,1,384.73,exHCLC,1,incomp,comp
327,1,454.2600000000001,exHCLC,1,incomp,comp
328,1,340.24,exHCLC,1,incomp,comp
329,1,420.06000000000006,exHCLC,1,incomp,comp
330,1,491.8,exHCLC,1,incomp,comp
331,1,320.33,exHCLC,1,incomp,comp
332,1,564.87,exHCLC,1,incomp,comp
333,1,403.79,exHCLC,1,incomp,comp
334,1,393.5,exHCLC,1,incomp,comp
335,1,373.67,exHCLC,1,incomp,comp
336,1,308.93000000000006,exHCLC,1,incomp,comp
337,1,487.48,exHCLC,1,incomp,comp
338,1,349.05,exHCLC,1,incomp,comp
339,1,323.29,exHCLC,1,incomp,comp
340,1,338.03,exHCLC,1,incomp,comp
341,1,460.18,exHCLC,1,incomp,comp
342,1,286.02,exHCLC,1,incomp,comp
343,1,289.23,exHCLC,1,incomp,comp
344,1,380.12,exHCLC,1,incomp,comp
345,1,296.2800000000001,exHCLC,1,incomp,comp
346,1,255.95,exHCLC,1,incomp,comp
347,1,403.73,exHCLC,1,incomp,comp
348,1,511.18,exHCLC,0,incomp,comp
349,1,306.24,exHCLC,1,incomp,comp
350,1,378.94,exHCLC,0,incomp,comp
351,1,355.68,exHCLC,1,incomp,comp
352,1,271.96,exHCLC,1,incomp,comp
353,1,237.97,exHCLC,1,incomp,comp
354,1,384.28,exHCLC,1,incomp,comp
355,1,371.32,exHCLC,1,incomp,comp
356,1,518.1,exHCLC,1,incomp,comp
357,1,396.96,exHCLC,0,incomp,comp
358,1,525.35,exHCLC,1,incomp,comp
359,1,383.79,exHCLC,1,incomp,comp
360,1,344.86999999999995,exHCLC,1,incomp,comp
361,1,1353.6,exHCLC,0,incomp,comp
362,1,448.74,exHCLC,1,incomp,comp
363,1,424.94,exHCLC,1,incomp,comp
364,1,368.31,exHCLC,1,incomp,comp
365,1,515.61,exHCLC,1,incomp,comp
366,1,341.81,exHCLC,1,incomp,comp
367,1,365.72,exHCLC,0,incomp,comp
368,1,292.41,exHCLC,1,incomp,comp
369,1,373.0,exHCLC,1,incomp,comp
370,1,457.68,exHCLC,1,incomp,comp
371,1,372.59,exHCLC,1,incomp,comp
372,1,348.85,exHCLC,1,incomp,comp
373,1,459.66,exHCLC,1,incomp,comp
374,1,326.24,exHCLC,1,incomp,comp
375,1,341.99,exHCLC,1,incomp,comp
376,1,453.15,exHCLC,1,incomp,comp
377,1,294.98,exHCLC,1,incomp,comp
378,1,329.82,exHCLC,1,incomp,comp
379,1,352.02,exHCLC,1,incomp,comp
380,1,361.71,exHCLC,1,incomp,comp
381,1,331.27,exHCLC,0,incomp,comp
382,1,518.4300000000002,exHCLC,1,incomp,comp
383,1,516.51,exHCLC,1,incomp,comp
384,1,379.77,exHCLC,1,incomp,comp
385,1,471.45,exHCLC,1,incomp,comp
386,1,446.38999999999993,exHCLC,1,incomp,comp
387,1,521.65,exHCLC,1,incomp,comp
388,1,516.13,exHCLC,0,incomp,comp
389,1,561.65,exHCLC,0,incomp,comp
390,1,181.7,exHCLC,0,incomp,comp
391,1,445.06,exHULU,1,comp,comp
